scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,product_url,availability,search_term_ar,scraped_at,discount
55,Seoudi Supermarket,Hla Sunflower Oil,73.75,,EGP,Hla,Sunflower Oil,Oil,Sunflower Oil,700.0,ml,https://seoudisupermarket.com/en/hla-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:31.544371
56,Seoudi Supermarket,Hla Sunflower Oil,224.95,,EGP,Hla,Sunflower Oil,Oil,Sunflower Oil,2.25,L,https://seoudisupermarket.com/en/hla-sunflower-oil-2-25-liter,In Stock,,2026-09-14 18:21:31.545367
57,Seoudi Supermarket,Afia Plus Corn Oil,269.95,,EGP,Afia,Corn Oil,Oil,Corn Oil,2.2,L,https://seoudisupermarket.com/en/afia-plus-corn-oil-2-2-liter,In Stock,,2026-09-14 18:21:31.546368
58,Seoudi Supermarket,Crystal Sunflower Oil,173.95,,EGP,Crystal,Sunflower Oil,Oil,Sunflower Oil,1.6,L,https://seoudisupermarket.com/en/crystal-sunflower-oil-1-6-liter,In Stock,,2026-09-14 18:21:31.547369
59,Seoudi Supermarket,Crystal Sunflower Oil,77.25,,EGP,Crystal,Sunflower Oil,Oil,Sunflower Oil,700.0,ml,https://seoudisupermarket.com/en/crystal-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:31.548367
60,Seoudi Supermarket,Al Asil Sunflower Oil,71.75,,EGP,Al Asil,Sunflower Oil,Oil,Sunflower Oil,700.0,ml,https://seoudisupermarket.com/en/al-asil-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:31.549370
61,Seoudi Supermarket,"Zitouna Extra Virgin Olive Oil, Plastic Bottle",309.95,,EGP,Zitouna,Olive Oil,Oil,Olive Oil,500.0,ml,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-plastic-bottle-500-ml,In Stock,,2026-09-14 18:21:31.550366
62,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil,312.45,,EGP,Wadi Food,Olive Oil,Oil,Olive Oil,250.0,ml,https://seoudisupermarket.com/en/wadi-food-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:31.550366
63,Seoudi Supermarket,Sunny Mixed Oil for Cooking & Frying,224.95,,EGP,Sunny,Mixed Oil,Oil,Mixed Oil,2.4,L,https://seoudisupermarket.com/en/sunny-sunflower-oil-2-4-liter,In Stock,,2026-09-14 18:21:31.551371
64,Seoudi Supermarket,Crystal Corn Oil,443.95,,EGP,Crystal,Corn Oil,Oil,Corn Oil,3.5,L,https://seoudisupermarket.com/en/crystal-corn-oil-3-5-liters,In Stock,,2026-09-14 18:21:31.552371
