scrape_id,store,product_name,brand,current_price,original_price,currency,product_type,category,subcategory,weight_value,weight_unit,discount,product_url,availability,scraped_at
345,Seoudi Supermarket,Domty Gold Feta Emmental Cheese,Domty,90.95,114.75,EGP,Cheese,Cheese & Labneh,Emmental,500,g,21,https://seoudisupermarket.com/en/domty-gold-feta-emmental-cheese-500-g,In Stock,9/14/2026 18:46
346,Seoudi Supermarket,Panda Feta Roumy Cheese,Panda,53.5,,EGP,Cheese,Cheese & Labneh,Feta,500,g,,https://seoudisupermarket.com/en/panda-feta-roumy-cheese-500-g,In Stock,9/14/2026 18:46
347,Seoudi Supermarket,Panda Feta Cheddar Cheese,Panda,53.5,,EGP,Cheese,Cheese & Labneh,Feta,500,g,,https://seoudisupermarket.com/en/panda-feta-cheddar-cheese-500-g,In Stock,9/14/2026 18:46
348,Seoudi Supermarket,Yopolis Labneh,Yopolis,88,,EGP,Labneh,Cheese & Labneh,Labneh,225,g,,https://seoudisupermarket.com/en/yopolis-labneh-225-g,In Stock,9/14/2026 18:46
349,Seoudi Supermarket,Obour Land Low Salt Cheese,Obour Land,51.75,,EGP,Cheese,Cheese & Labneh,,500,g,,https://seoudisupermarket.com/en/obour-land-low-salt-cheese-500-g,In Stock,9/14/2026 18:46
350,Seoudi Supermarket,Obour Land Feta Cheese with Cheddar,Obour Land,27.25,,EGP,Cheese,Cheese & Labneh,Feta,250,g,,https://seoudisupermarket.com/en/obour-land-feta-cheese-with-cheddar-250-g,In Stock,9/14/2026 18:46
351,Seoudi Supermarket,Obour Land Feta Cheese with Roumy,Obour Land,27.25,,EGP,Cheese,Cheese & Labneh,Feta,250,g,,https://seoudisupermarket.com/en/obour-land-feta-cheese-with-roumy-250-g,In Stock,9/14/2026 18:46
352,Seoudi Supermarket,Dodoni Feta Cheese with Thyme,Dodoni,405,,EGP,Cheese,Cheese & Labneh,Feta,350,g,,https://seoudisupermarket.com/en/dodoni-feta-cheese-with-thyme-350-g,In Stock,9/14/2026 18:46
353,Seoudi Supermarket,Domty Istanbuli Cheese,Domty,45.33,54,EGP,Cheese,Cheese & Labneh,Istanbuli,500,g,16,https://seoudisupermarket.com/en/domty-istanbuli-cheese-500-g,In Stock,9/14/2026 18:46
354,Seoudi Supermarket,Domty Feta Cheese with Olives,Domty,45.33,54,EGP,Cheese,Cheese & Labneh,Feta,500,g,16,https://seoudisupermarket.com/en/domty-feta-cheese-with-olives-500-g,In Stock,9/14/2026 18:46
355,Seoudi Supermarket,Panda Creamy Cheese,Panda,41.75,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,4,pieces,,https://seoudisupermarket.com/en/panda-creamy-cheese-4-pieces,In Stock,9/14/2026 18:46
356,Seoudi Supermarket,Pinar Plain Labneh,Pinar,49.98,62.48,EGP,Labneh,Cheese & Labneh,Labneh,0.125,kg,20,https://seoudisupermarket.com/en/pinar-plain-labneh,In Stock,9/14/2026 18:46
357,Seoudi Supermarket,Avanti Cheese Slices with Pastrami,Avanti,84,,EGP,Cheese,Cheese & Labneh,,150,g,,https://seoudisupermarket.com/en/avanti-cheese-slices-with-pastrami-150-g,In Stock,9/14/2026 18:46
358,Seoudi Supermarket,Panda Shredded Mozzarella Cheese,Panda,53.95,,EGP,Cheese,Cheese & Labneh,Mozzarella,180,g,,https://seoudisupermarket.com/en/panda-shredded-mozzarella-cheese-180-g,In Stock,9/14/2026 18:46
359,Seoudi Supermarket,Panda Cheddar Cheese Cup,Panda,360.95,379.95,EGP,Cheese,Cheese & Labneh,,900,g,5,https://seoudisupermarket.com/en/panda-cheddar-cheese-cup-900-g,In Stock,9/14/2026 18:46
360,Seoudi Supermarket,President Triangle Cheese,President,76.5,,EGP,Cheese,Cheese & Labneh,Triangle Cheese,8,pieces,,https://seoudisupermarket.com/en/president-triangle-cheese-8-pieces,In Stock,9/14/2026 18:46
361,Seoudi Supermarket,President Triangle Cheese,President,150.5,,EGP,Cheese,Cheese & Labneh,Triangle Cheese,16,pieces,,https://seoudisupermarket.com/en/president-triangle-cheese-16-pieces,In Stock,9/14/2026 18:46
362,Seoudi Supermarket,Panda Istanbuli Cheese,Panda,53.5,,EGP,Cheese,Cheese & Labneh,Istanbuli,500,g,,https://seoudisupermarket.com/en/panda-istanbuli-cheese-500-g,In Stock,9/14/2026 18:46
363,Seoudi Supermarket,Malika Nabulsi Cheese,Malika,119.95,,EGP,Cheese,Cheese & Labneh,Nabulsi,300,g,,https://seoudisupermarket.com/en/malika-nabulsi-cheese-300-g,In Stock,9/14/2026 18:46
364,Seoudi Supermarket,Cheese Mellow Roquefort Cheese,Cheese Mellow,134.38,,EGP,Cheese,Cheese & Labneh,Roquefort,0.125,kg,,https://seoudisupermarket.com/en/cheese-mellow-roquefort-cheese,In Stock,9/14/2026 18:46
365,Seoudi Supermarket,President Triangle Cheese,President,219.95,,EGP,Cheese,Cheese & Labneh,Triangle Cheese,24,pieces,,https://seoudisupermarket.com/en/president-triangle-cheese-24-pieces,In Stock,9/14/2026 18:46
366,Seoudi Supermarket,Bahcivan Chechil Cheese,Bahcivan,258,,EGP,Cheese,Cheese & Labneh,,200,g,,https://seoudisupermarket.com/en/bahcivan-chechil-cheese-200-g,In Stock,9/14/2026 18:46
367,Seoudi Supermarket,Buffalo Mozzarella,,108.25,,EGP,Cheese,Cheese & Labneh,Mozzarella,0.25,kg,,https://seoudisupermarket.com/en/buffalo-mozzarella,Out of Stock,9/14/2026 18:46
368,Seoudi Supermarket,Philadelphia Original Cheese,Philadelphia,259.95,,EGP,Cheese,Cheese & Labneh,,180,g,,https://seoudisupermarket.com/en/philadelphia-original-cheese-180-g,In Stock,9/14/2026 18:46
369,Seoudi Supermarket,Mag Dairy Labneh,Mag Dairy,54,,EGP,Labneh,Cheese & Labneh,Labneh,120,g,,https://seoudisupermarket.com/en/mag-dairy-labneh-120-g,Out of Stock,9/14/2026 18:46
370,Seoudi Supermarket,Mag Dairy Istanbouli Cheese,Mag Dairy,99.95,125,EGP,Cheese,Cheese & Labneh,Istanbuli,400,g,20,https://seoudisupermarket.com/en/mag-dairy-istanbouli-cheese-400-g,Out of Stock,9/14/2026 18:46
371,Seoudi Supermarket,Mag Dairy Feta Cheese,Mag Dairy,99.95,125,EGP,Cheese,Cheese & Labneh,Feta,400,g,20,https://seoudisupermarket.com/en/mag-dairy-feta-cheese-400-g,Out of Stock,9/14/2026 18:46
372,Seoudi Supermarket,Mama's Vegan Shredded Mozzarella Cheese,Mama's Vegan,255,,EGP,Cheese,Cheese & Labneh,Mozzarella,200,g,,https://seoudisupermarket.com/en/mamas-vegan-shredded-mozzarella-cheese-200-g,Out of Stock,9/14/2026 18:46
373,Seoudi Supermarket,Mama's Vegan Mozzarella Cheese,Mama's Vegan,209,,EGP,Cheese,Cheese & Labneh,Mozzarella,200,g,,https://seoudisupermarket.com/en/mamas-vegan-mozzarella-cheese-200-g,Out of Stock,9/14/2026 18:46
374,Seoudi Supermarket,Mama's Vegan Burger Cheese,Mama's Vegan,209,,EGP,Cheese,Cheese & Labneh,,200,g,,https://seoudisupermarket.com/en/mamas-vegan-burger-cheese-200-g,Out of Stock,9/14/2026 18:46
375,Seoudi Supermarket,Mama's Vegan Mozzarella Cheese Slices,Mama's Vegan,209,,EGP,Cheese,Cheese & Labneh,Mozzarella,200,g,,https://seoudisupermarket.com/en/mamas-vegan-mozzarella-cheese-slices-200-g,Out of Stock,9/14/2026 18:46
376,Seoudi Supermarket,Mama's Vegan White Cheese,Mama's Vegan,209,,EGP,Cheese,Cheese & Labneh,White Cheese,200,g,,https://seoudisupermarket.com/en/mamas-vegan-white-cheese-200-g,Out of Stock,9/14/2026 18:46
377,Seoudi Supermarket,Forsana Burger Cheese Slices,Forsana,149.95,200,EGP,Cheese,Cheese & Labneh,,10,pieces,25,https://seoudisupermarket.com/en/forsana-burger-cheese-slices-10-pieces,Out of Stock,9/14/2026 18:46
378,Seoudi Supermarket,Pride Cheddar Cheese Slices,Pride,149.95,200,EGP,Cheese,Cheese & Labneh,,10,pieces,25,https://seoudisupermarket.com/en/pride-cheddar-cheese-slices-10-pieces,Out of Stock,9/14/2026 18:46
379,Seoudi Supermarket,Puck Triangle Cheese,Puck,429.95,550,EGP,Cheese,Cheese & Labneh,Triangle Cheese,40,pieces,22,https://seoudisupermarket.com/en/puck-triangle-cheese-40-pieces,Out of Stock,9/14/2026 18:46
380,Seoudi Supermarket,Puck Triangle Cheese,Puck,89.95,119.95,EGP,Cheese,Cheese & Labneh,Triangle Cheese,8,pieces,25,https://seoudisupermarket.com/en/puck-triangle-cheese-8-pieces,Out of Stock,9/14/2026 18:46
381,Seoudi Supermarket,Puck Creamy Cheese,Puck,639.95,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,900,g,,https://seoudisupermarket.com/en/puck-creamy-cheese-900-g,Out of Stock,9/14/2026 18:46
382,Seoudi Supermarket,Panda Gourmet Roumy Cheese,Panda,110.5,116.95,EGP,Cheese,Cheese & Labneh,Roumy,240,g,6,https://seoudisupermarket.com/en/panda-gourmet-roumy-cheese-240-g,Out of Stock,9/14/2026 18:46
383,Seoudi Supermarket,Ulker Fresh Cream Cheese,Ulker,134.95,170,EGP,Cheese,Cheese & Labneh,Cream Cheese,180,g,21,https://seoudisupermarket.com/en/ulker-fresh-cream-cheese-180-g,Out of Stock,9/14/2026 18:46
384,Seoudi Supermarket,Ulker Natural Mozzarella Cheese,Ulker,339.95,440,EGP,Cheese,Cheese & Labneh,Mozzarella,450,g,23,https://seoudisupermarket.com/en/ulker-natural-mozzarella-cheese-450-g,Out of Stock,9/14/2026 18:46
385,Seoudi Supermarket,Ulker Natural Mozzarella Cheese,Ulker,149.95,200,EGP,Cheese,Cheese & Labneh,Mozzarella,200,g,25,https://seoudisupermarket.com/en/ulker-natural-mozzarella-cheese-200-g,Out of Stock,9/14/2026 18:46
386,Seoudi Supermarket,Ulker Turkish Cheese Balls,Ulker,234.95,285,EGP,Cheese,Cheese & Labneh,,250,g,18,https://seoudisupermarket.com/en/ulker-turkish-cheese-balls-250-g,Out of Stock,9/14/2026 18:46
387,Seoudi Supermarket,Ulker Turkish Labneh,Ulker,152.95,190,EGP,Labneh,Cheese & Labneh,Labneh,275,g,20,https://seoudisupermarket.com/en/ulker-turkish-labneh-275-g,Out of Stock,9/14/2026 18:46
388,Seoudi Supermarket,Ulker Turkish Labneh,Ulker,274.95,330,EGP,Labneh,Cheese & Labneh,Labneh,550,g,17,https://seoudisupermarket.com/en/ulker-turkish-labneh-550-g,Out of Stock,9/14/2026 18:46
