scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
38,Seoudi Supermarket,Stevia Castello Natural Sweetener - 60 Sachet,174.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/stevia-castello-natural-sweetener-60-sachet,In Stock,,2026-09-14 18:26:17.860318,
39,Seoudi Supermarket,Sugar Match Diet Sugar - 200 Sachet,293.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sugar-match-diet-sugar-200-sachet,In Stock,,2026-09-14 18:26:17.861318,
40,Seoudi Supermarket,Sweetal Diet Sugar - 300 Tablet,169.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweetal-diet-sugar-300-tablet,In Stock,,2026-09-14 18:26:17.862320,
41,Seoudi Supermarket,Sweetal Stevia Sugar - 50 Sachet,94.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweetal-stevia-sugar-50-sachet,In Stock,,2026-09-14 18:26:17.863316,
42,Seoudi Supermarket,Lakanto Monkfruit Sweetener - 235 g,176.95 EGP,,,Sugar,,235.0,g,,EGP,https://seoudisupermarket.com/en/lakanto-monkfruit-sweetener-235-g,In Stock,,2026-09-14 18:26:17.864318,
43,Seoudi Supermarket,Diamond White Sugar - 100 g,55.95 EGP,,,Sugar,,100.0,g,,EGP,https://seoudisupermarket.com/en/diamond-white-sugar-100-g,Out of Stock,,2026-09-14 18:26:17.865318,
44,Seoudi Supermarket,Island Cane Molasses - 500 g,149.95 EGP,,,Sugar,,500.0,g,,EGP,https://seoudisupermarket.com/en/island-cane-molasses-500-g,Out of Stock,,2026-09-14 18:26:17.866318,
45,Seoudi Supermarket,Safety Fructose Sugar - 300 g,87.75 EGP,,,Sugar,,300.0,g,,EGP,https://seoudisupermarket.com/en/safety-fructose-sugar-300-g,Out of Stock,,2026-09-14 18:26:17.867318,
46,Seoudi Supermarket,Billington's Light Brown Soft Sugar - 500 g,174.95 EGP,,,Sugar,,500.0,g,,EGP,https://seoudisupermarket.com/en/billingtons-light-brown-soft-sugar-500-g,Out of Stock,,2026-09-14 18:26:17.868317,
47,Seoudi Supermarket,Island Cane Demerara Sugar - 500 g,124.95 EGP,,,Sugar,,500.0,g,,EGP,https://seoudisupermarket.com/en/island-cane-demerara-sugar-500-g,Out of Stock,,2026-09-14 18:26:17.869316,
48,Seoudi Supermarket,Rich Mix Guests Sugar - 120 Sachet,81.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/rich-mix-guests-sugar-120-sachet,Out of Stock,,2026-09-14 18:26:17.870316,
