scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
359,Seoudi Supermarket,Food House Thyme Goat Cheese - 150 g,102 EGP,,,Cheese & Labneh,,150.0,g,,EGP,https://seoudisupermarket.com/en/food-house-thyme-goat-cheese-150-g,Out of Stock,,2026-09-14 18:46:54.665800,
360,Seoudi Supermarket,Dutch Maasdam Cheese,78.13 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/%D8%AC%D8%A8%D9%86%D8%A9-%D9%85%D8%B3%D8%AF%D8%A7%D9%85-%D9%87%D9%88%D9%84%D9%86%D8%AF%D9%89-%D9%88%D8%B2%D9%86-2005467000000,Out of Stock,,2026-09-14 18:46:54.666797,
361,Seoudi Supermarket,Old Amsterdam Cheese Wedges - 300 g,639.95 EGP,,,Cheese & Labneh,,300.0,g,740 EGP,EGP,https://seoudisupermarket.com/en/old-amsterdam-cheese-wedges-300-g,Out of Stock,,2026-09-14 18:46:54.667798,- 14%
362,Seoudi Supermarket,Old Amsterdam Cheese Wedges - 90 g,249.95 EGP,,,Cheese & Labneh,,90.0,g,350 EGP,EGP,https://seoudisupermarket.com/en/old-amsterdam-cheese-wedges-90-g,Out of Stock,,2026-09-14 18:46:54.668799,- 29%
363,Seoudi Supermarket,Cheesa Roquefort Cheese - 100 g,121 EGP,,,Cheese & Labneh,,100.0,g,,EGP,https://seoudisupermarket.com/en/cheesa-roquefort-cheese-100-g,Out of Stock,,2026-09-14 18:46:54.669797,
364,Seoudi Supermarket,Seoudi Blue Cheese & Tortilla Chips - 170 g,115 EGP,,,Cheese & Labneh,,170.0,g,,EGP,https://seoudisupermarket.com/en/seoudi-blue-cheese-and-tortilla-chips-170-g,Out of Stock,,2026-09-14 18:46:54.670798,
365,Seoudi Supermarket,Saluti French Emmental Cheese - 150 g,168.75 EGP,,,Cheese & Labneh,,150.0,g,,EGP,https://seoudisupermarket.com/en/saluti-french-emmental-cheese-150-g,Out of Stock,,2026-09-14 18:46:54.671799,
366,Seoudi Supermarket,Prima Processed Creamy Cheese - 240  g,99.95 EGP,,,Cheese & Labneh,,240.0,g,,EGP,https://seoudisupermarket.com/en/prima-processed-creamy-cheese-240-g,Out of Stock,,2026-09-14 18:46:54.672799,
367,Seoudi Supermarket,Al Karam Cheddar Cheese Sauce,25 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/al-karam-cheddar-cheese-sauce,Out of Stock,,2026-09-14 18:46:54.673801,
368,Seoudi Supermarket,Cheesa Edam Cheese - 235 g,144.5 EGP,,,Cheese & Labneh,,235.0,g,,EGP,https://seoudisupermarket.com/en/cheesa-edam-cheese-235-g,Out of Stock,,2026-09-14 18:46:54.674800,
369,Seoudi Supermarket,La Vache Qui rit Creamy Cheese Jar - 240 g,114.95 EGP,,,Cheese & Labneh,,240.0,g,,EGP,https://seoudisupermarket.com/en/la-vache-qui-rit-creamy-cheese-jar-240-g,Out of Stock,,2026-09-14 18:46:54.675797,
370,Seoudi Supermarket,La Vache Qui rit Vegeterian Triangle Cheese - 8 Pieces,39 EGP,,,Cheese & Labneh,,,,,EGP,https://seoudisupermarket.com/en/la-vache-qui-rit-vegeterian-triangle-cheese-8-pieces,Out of Stock,,2026-09-14 18:46:54.676801,
371,Seoudi Supermarket,Royal Goat Gouda Cheese,131.25 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/royal-goat-gouda-cheese,Out of Stock,,2026-09-14 18:46:54.677797,
372,Seoudi Supermarket,Bulgarian Kashkaval Cheese,85 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/bulgarian-kashkaval-cheese,Out of Stock,,2026-09-14 18:46:54.678799,
373,Seoudi Supermarket,Dolce Provolone Cheese,115.63 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/dolce-provolone-cheese,Out of Stock,,2026-09-14 18:46:54.678799,
374,Seoudi Supermarket,Domty Mix Shredded Mozzarella & Roumy Cheese - 280 g,85.95 EGP,,,Cheese & Labneh,,280.0,g,154.5 EGP,EGP,https://seoudisupermarket.com/en/domty-mix-shredded-mozzarella-and-roumy-cheese-280-g,Out of Stock,,2026-09-14 18:46:54.679798,- 44%
375,Seoudi Supermarket,Prima Ricotta Cheese - 400 g,107.95 EGP,,,Cheese & Labneh,,400.0,g,,EGP,https://seoudisupermarket.com/en/prima-ricotta-cheese-400-g,Out of Stock,,2026-09-14 18:46:54.680800,
376,Seoudi Supermarket,Kiri Cream Cheese - 4 Pieces,45.5 EGP,,,Cheese & Labneh,,,,,EGP,https://seoudisupermarket.com/en/kiri-cream-cheese-4-pieces,Out of Stock,,2026-09-14 18:46:54.681799,
377,Seoudi Supermarket,Lebanese Nabulsi Cheese,137.98 EGP,,,Cheese & Labneh,,0.4,Kg,,EGP,https://seoudisupermarket.com/en/lebanese-nabulsi-cheese,Out of Stock,,2026-09-14 18:46:54.682800,
378,Seoudi Supermarket,Hajdu Smoked Kashkaval Cheese,102.49 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/hajdu-smoked-kashkaval-cheese,Out of Stock,,2026-09-14 18:46:54.683798,
379,Seoudi Supermarket,Almarai Labneh - 400 g,252.95 EGP,,,Cheese & Labneh,,400.0,g,,EGP,https://seoudisupermarket.com/en/almarai-labneh-400-g,Out of Stock,,2026-09-14 18:46:54.684798,
380,Seoudi Supermarket,Shallal Cheese,167.98 EGP,,,Cheese & Labneh,,0.4,Kg,,EGP,https://seoudisupermarket.com/en/shallal-cheese,Out of Stock,,2026-09-14 18:46:54.685798,
