scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
170,Seoudi Supermarket,Dreem Mix Chocolate Ice Cream - 160 g,47.75 EGP,,,Flour,,160.0,g,,EGP,https://seoudisupermarket.com/en/dreem-mix-chocolate-ice-cream-160-g,Out of Stock,,2026-09-14 18:32:44.874607,
171,Seoudi Supermarket,Dreem Strawberry Puding - 100 g,28.95 EGP,,,Flour,,100.0,g,,EGP,https://seoudisupermarket.com/en/dreem-strawberry-puding-100-g,Out of Stock,,2026-09-14 18:32:44.875606,
172,Seoudi Supermarket,Betty Crocker Strawberry Cake Mix - 360 g,153.95 EGP,,,Flour,,360.0,g,,EGP,https://seoudisupermarket.com/en/betty-crocker-strawberry-cake-mix-360-g,Out of Stock,,2026-09-14 18:32:44.876605,
173,Seoudi Supermarket,Dreem Donuts Mix - 485 g,68.95 EGP,,,Flour,,485.0,g,,EGP,https://seoudisupermarket.com/en/dreem-donuts-mix-485-g,Out of Stock,,2026-09-14 18:32:44.876605,
174,Seoudi Supermarket,Green's Muhallabiah Dessert Mix - 85 g,39.95 EGP,,,Flour,,85.0,g,,EGP,https://seoudisupermarket.com/en/greens-muhallabiah-dessert-mix-85-g,Out of Stock,,2026-09-14 18:32:44.877605,
175,Seoudi Supermarket,Green's Cream Caramel - 70 g,39.95 EGP,,,Flour,,70.0,g,,EGP,https://seoudisupermarket.com/en/greens-cream-caramel-70-g,Out of Stock,,2026-09-14 18:32:44.878606,
176,Seoudi Supermarket,Foster Clark's Strawberry Jelly - 85 g,44.95 EGP,,,Flour,,85.0,g,,EGP,https://seoudisupermarket.com/en/foster-clarks-strawberry-jelly-85-g,Out of Stock,,2026-09-14 18:32:44.879606,
177,Seoudi Supermarket,Foster Clark's Cream Caramel - 71 g,39.95 EGP,,,Flour,,71.0,g,,EGP,https://seoudisupermarket.com/en/foster-clarks-cream-caramel-71-g,Out of Stock,,2026-09-14 18:32:44.880605,
178,Seoudi Supermarket,Diari Medium Couscous - 500 g,71.95 EGP,,,Flour,,500.0,g,,EGP,https://seoudisupermarket.com/en/diari-medium-couscous-500-g,Out of Stock,,2026-09-14 18:32:44.881606,
179,Seoudi Supermarket,Holw El Sham Milk Mahalabeya - 80 g,24.95 EGP,,,Flour,,80.0,g,,EGP,https://seoudisupermarket.com/en/holw-el-sham-milk-mahalabeya-80-g,Out of Stock,,2026-09-14 18:32:44.882606,
180,Seoudi Supermarket,Dreem Vanilla Pudding - 100 g,28.95 EGP,,,Flour,,100.0,g,,EGP,https://seoudisupermarket.com/en/dreem-vanilla-pudding-100-g,Out of Stock,,2026-09-14 18:32:44.883605,
181,Seoudi Supermarket,Ragab El Attar Coconut Flour - 350 g,134.95 EGP,,,Flour,,350.0,g,,EGP,https://seoudisupermarket.com/en/ragab-el-attar-coconut-flour-350-g,Out of Stock,,2026-09-14 18:32:44.883605,
182,Seoudi Supermarket,Picky Baker Multi Purpose Flour - 1 kg,28.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/picky-baker-multi-purpose-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.884605,
183,Seoudi Supermarket,Dobella Biscuit & Cake Flour - 1 kg,37.16 EGP,,,Flour,,1.0,kg,41.45 EGP,EGP,https://seoudisupermarket.com/en/dobella-biscuit-cake-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.885605,- 10%
184,Seoudi Supermarket,Al Sakr Flour - 1 kg,25.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/al-sakr-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.886606,
185,Seoudi Supermarket,Origin Flour - 1 kg,25.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/origin-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.887605,
186,Seoudi Supermarket,Picky Baker Pizza Flour - 1 kg,32.45 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/picky-baker-pizza-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.888606,
187,Seoudi Supermarket,Five Stars Pizza Flour - 1 kg,49.95 EGP,,,Flour,,1.0,kg,56.75 EGP,EGP,https://seoudisupermarket.com/en/five-stars-pizza-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.890606,- 12%
188,Seoudi Supermarket,Sonbolat Elforat Biscuits & Cookies Flour - 1 kg,41.45 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/sonbolat-elforat-biscuits-and-cookies-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.891609,
189,Seoudi Supermarket,King M Wholemeal Brown Flour - 1 kg,41.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/king-m-wholemeal-brown-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.892605,
